time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1590192500.00039625,0.00842630,0.00527598,0.00000540,60347.00000000,0.01767190,0.000000,0.000000
1590192500.10023618,0.00842780,0.00415842,0.00000494,60369.00000000,0.01431706,0.000000,0.000000
1590192500.20007634,0.00842946,0.00446220,0.00000473,60376.00000000,0.01495358,0.000000,0.000000
1590192500.30039620,0.00843100,0.00411384,0.00000518,60405.00000000,0.01446191,0.000000,0.000000
1590192500.40023637,0.00843330,0.00520767,0.00000583,60432.00000000,0.01746075,0.000000,0.000000
1590192500.50007629,0.00843688,0.00444934,0.00000661,60432.00000000,0.02248051,0.000000,0.000000
1590192500.60039639,0.00843882,0.00440151,0.00000551,60455.00000000,0.01608726,0.000000,0.000000
1590192500.70023632,0.00844081,0.00432970,0.00000512,60489.00000000,0.01622657,0.000000,0.000000
1590192500.80007625,0.00844416,0.00348182,0.00000719,60502.00000000,0.02163035,0.000000,0.000000
1590192500.90039635,0.00844589,0.00406858,0.00000565,60536.00000000,0.01523536,0.000000,0.000000
1590192501.00025320,0.00844725,0.00382515,0.00000467,60545.00000000,0.01378569,0.000000,0.000000
1590192501.10009313,0.00844983,0.00228892,0.00000493,60559.00000000,0.01863157,0.000000,0.000000
1590192501.20041323,0.00845131,0.00346292,0.00000528,60606.00000000,0.01426537,0.000000,0.000000
1590192501.30025315,0.00845250,0.00314405,0.00000495,60625.00000000,0.01312585,0.000000,0.000000
1590192501.40009308,0.00845353,0.00333076,0.00000406,60640.00000000,0.01250603,0.000000,0.000000
1590192501.50041318,0.00845424,0.00302683,0.00000377,60667.00000000,0.01126049,0.000000,0.000000
1590192501.60025311,0.00845513,0.00295454,0.00000408,60679.00000000,0.01195045,0.000000,0.000000
1590192501.70009327,0.00845632,0.00423365,0.00000427,60697.00000000,0.01314628,0.000000,0.000000
1590192501.80041313,0.00845785,0.00425381,0.00000471,60655.00000000,0.01447480,0.000000,0.000000
1590192501.90025330,0.00845888,0.00232214,0.00000479,60648.00000000,0.01251784,0.000000,0.000000
1590192502.00011015,0.00846046,0.00431443,0.00000428,60677.00000000,0.01467895,0.000000,0.000000
1590192502.10043001,0.00846127,0.00363235,0.00000363,60672.00000000,0.01168905,0.000000,0.000000
1590192502.20027018,0.00846249,0.00377986,0.00000428,60694.00000000,0.01325224,0.000000,0.000000
1590192502.30011010,0.00846500,0.00396251,0.00000476,60691.00000000,0.01839233,0.000000,0.000000
1590192502.40042996,0.00846674,0.00425206,0.00000555,60694.00000000,0.01533206,0.000000,0.000000
1590192502.50027013,0.00846864,0.00496509,0.00000527,60716.00000000,0.01595450,0.000000,0.000000
1590192502.60011005,0.00847011,0.00396919,0.00000508,60728.00000000,0.01425411,0.000000,0.000000
1590192502.70043015,0.00847105,0.00326980,0.00000449,60729.00000000,0.01220257,0.000000,0.000000
1590192502.80027008,0.00847191,0.00332052,0.00000407,60723.00000000,0.01186927,0.000000,0.000000
1590192502.90011001,0.00847218,0.00228764,0.00000348,60750.00000000,0.00955010,0.000000,0.000000
1590192503.00044703,0.00847268,0.00244999,0.00000373,60740.00000000,0.01045061,0.000000,0.000000
1590192503.10028696,0.00847360,0.00367086,0.00000412,60752.00000000,0.01208737,0.000000,0.000000
1590192503.20012689,0.00847585,0.00420551,0.00000571,60784.00000000,0.01735922,0.000000,0.000000
1590192503.30044699,0.00847764,0.00416712,0.00000519,60822.00000000,0.01558873,0.000000,0.000000
